Date,Type,Volume,Term,Price
1/05/2024,PRC,50000,Spot,2
1/05/2024,PRC,50000,Spot,2
1/05/2024,PRC,50000,Spot,2
1/05/2024,PRC,100000,Spot,1.95
1/05/2024,PRC,50000,Spot,2
1/05/2024,PRC,100000,Spot,1.8
1/05/2024,PRC,50000,Spot,1.95
1/05/2024,PRC,50000,Spot,1.85
1/05/2024,PRC,100000,Spot,1.9
1/05/2024,PRC,100000,Spot,1.8
1/05/2024,PRC,100000,Spot,1.8
2/05/2024,PRC,90000,Spot,2.1
2/05/2024,PRC,50000,Spot,2.1
6/05/2024,PRC,100000,Spot,1.9
8/05/2024,PRC,300000,Spot,2.02
8/05/2024,PRC,100000,Spot,2.1
8/05/2024,PRC,50000,Spot,2.08
8/05/2024,PRC,50000,Spot,2
9/05/2024,PRC,200000,Spot,2
9/05/2024,PRC,500000,Spot,2
9/05/2024,PRC,500000,Spot,2
10/05/2024,PRC,50000,Spot,2.05
14/05/2024,PRC,100000,Spot,1.9
15/05/2024,PRC,50000,Spot,2.05
15/05/2024,PRC,50000,Spot,2.05
15/05/2024,PRC,50000,Spot,2
17/05/2024,PRC,200000,Spot,2.1
17/05/2024,PRC,50000,Spot,2.05
17/05/2024,PRC,100000,Spot,2.05
21/05/2024,PRC,100000,Spot,2.1
21/05/2024,PRC,50000,Spot,2.1
21/05/2024,PRC,300000,Spot,2.1
21/05/2024,PRC,100000,Spot,2.1
22/05/2024,PRC,30000,Spot,2.15
22/05/2024,PRC,40000,Spot,2.15
22/05/2024,PRC,50000,Spot,2.15
22/05/2024,PRC,50000,Spot,2.15
24/05/2024,PRC,50000,Spot,2.3
24/05/2024,PRC,60000,Spot,2.2
28/05/2024,PRC,300000,Spot,2
29/05/2024,PRC,100000,Spot,1.88
29/05/2024,PRC,50000,Spot,1.9
29/05/2024,PRC,100000,Spot,1.95
29/05/2024,PRC,100000,Spot,1.97
31/05/2024,PRC,40000,Spot,1.85
4/06/2024,PRC,50000,Spot,1.97
5/06/2024,PRC,50000,Spot,1.95
5/06/2024,PRC,100000,Spot,1.95
6/06/2024,PRC,30000,Spot,1.9
7/06/2024,PRC,75000,Spot,1.87
13/06/2024,PRC,100000,Spot,1.9
14/06/2024,PRC,100000,Spot,1.85
17/06/2024,PRC,50000,Spot,1.85
19/06/2024,PRC,70000,Spot,1.9
21/06/2024,PRC,200000,Spot,1.9
21/06/2024,PRC,150000,Spot,1.9
21/06/2024,PRC,125000,Spot,1.9
25/06/2024,PRC,50000,Spot,1.85
25/06/2024,PRC,50000,Spot,1.85
28/06/2024,PRC,100000,Spot,1.85
1/07/2024,PRC,50000,Spot,1.82
2/07/2024,PRC,100000,Spot,1.82
2/07/2024,PRC,100000,Spot,1.82
5/07/2024,PRC,110000,Spot,1.83
8/07/2024,PRC,35000,Spot,1.85
9/07/2024,PRC,30000,Spot,1.84
19/07/2024,PRC,100000,Spot,1.95
19/07/2024,PRC,250000,Spot,1.95
24/07/2024,PRC,100000,Spot,2.15
24/07/2024,PRC,100000,Spot,2.1
24/07/2024,PRC,50000,Spot,2.15
25/07/2024,PRC,150000,Spot,2.2
25/07/2024,PRC,50000,Spot,2.19
25/07/2024,PRC,100000,Spot,2.16
26/07/2024,PRC,100000,Spot,2.26
26/07/2024,PRC,50000,Spot,2.26
26/07/2024,PRC,50000,Spot,2.28
26/07/2024,PRC,50000,Spot,2.3
26/07/2024,PRC,100000,Spot,2.28
26/07/2024,PRC,50000,Spot,2.28
26/07/2024,PRC,50000,Spot,2.28
26/07/2024,PRC,50000,Spot,2.28
26/07/2024,PRC,50000,Spot,2.25
26/07/2024,PRC,100000,Spot,2.25
26/07/2024,PRC,50000,Spot,2.25
26/07/2024,PRC,40000,Spot,2.25
26/07/2024,PRC,100000,Spot,2.25
26/07/2024,PRC,50000,Spot,2.25
26/07/2024,PRC,100000,Spot,2.25
26/07/2024,PRC,200000,Spot,2.2
26/07/2024,PRC,50000,Spot,2.23
26/07/2024,PRC,50000,Spot,2.2
30/07/2024,PRC,50000,Spot,2.3
30/07/2024,PRC,50000,Spot,2.3
30/07/2024,PRC,50000,Spot,2.3
31/07/2024,PRC,50000,Spot,2.3
1/08/2024,PRC,50000,Spot,2.25
1/08/2024,PRC,50000,Spot,2.25
1/08/2024,PRC,50000,Spot,2.25
2/08/2024,PRC,50000,Spot,2.25
8/08/2024,PRC,75000,Spot,2.05
9/08/2024,PRC,50000,Spot,2.04
9/08/2024,PRC,100000,Spot,2.05
9/08/2024,PRC,100000,Spot,2.05
12/08/2024,PRC,50000,Spot,2.02
13/08/2024,PRC,150000,Spot,2.02
13/08/2024,PRC,40000,Spot,2.02
13/08/2024,PRC,100000,Spot,2.02
14/08/2024,PRC,50000,Spot,2.12
15/08/2024,PRC,50000,Spot,2.15
16/08/2024,PRC,100000,Spot,2.12
16/08/2024,PRC,80000,Spot,2.1
16/08/2024,PRC,100000,Spot,2.1
20/08/2024,PRC,50000,Spot,2.07
20/08/2024,PRC,115000,Spot,2.08
20/08/2024,PRC,50000,Spot,2.1
21/08/2024,PRC,50000,Spot,2.02
21/08/2024,PRC,100000,Spot,2.02
21/08/2024,PRC,275000,Spot,2.04
23/08/2024,PRC,50000,Spot,2.02
28/08/2024,PRC,50000,Spot,2.04
28/08/2024,PRC,50000,Spot,2
28/08/2024,PRC,250000,Spot,2
6/09/2024,PRC,50000,Spot,2.08
6/09/2024,PRC,50000,Spot,2.06
9/09/2024,PRC,30000,Spot,2.08
9/09/2024,PRC,30000,Spot,2.08
11/09/2024,PRC,50000,Spot,2.15
12/09/2024,PRC,100000,Spot,2.4
12/09/2024,PRC,50000,Spot,2.3
12/09/2024,PRC,100000,Spot,2.35
12/09/2024,PRC,75000,Spot,2.3
12/09/2024,PRC,150000,Spot,2.2
12/09/2024,PRC,250000,Spot,2.3
12/09/2024,PRC,100000,Spot,2.2
12/09/2024,PRC,50000,Spot,2.2
12/09/2024,PRC,115000,Spot,2.17
13/09/2024,PRC,450000,Spot,2.38
13/09/2024,PRC,50000,Spot,2.3
13/09/2024,PRC,150000,Spot,2.3
13/09/2024,PRC,155000,Spot,2.3
18/09/2024,PRC,300000,Spot,2.4
