Date,Type,Volume,Term,Price
29/09/2014,ESC,10000,Spot,10.9
30/09/2014,ESC,5000,Spot,11.05
30/09/2014,ESC,5000,Spot,11
30/09/2014,ESC,9000,Spot,11
2/10/2014,ESC,5979,Spot,11.1
8/10/2014,ESC,8000,Spot,11.1
10/10/2014,ESC,9000,Spot,11.1
16/10/2014,ESC,15000,Spot,11.1
16/10/2014,ESC,10000,Spot,11.15
27/10/2014,ESC,10000,Spot,10.9
28/10/2014,ESC,5000,Spot,10.8
30/10/2014,ESC,5000,Spot,10.8
30/10/2014,ESC,5000,Spot,10.8
6/11/2014,ESC,5000,Spot,10.5
6/11/2014,ESC,10000,Spot,10.6
12/11/2014,ESC,15000,Spot,11
19/11/2014,ESC,6779,Spot,12
1/12/2014,ESC,11900,Spot,13.05
2/12/2014,ESC,5000,Spot,13.4
9/12/2014,ESC,30000,Spot,14.25
9/12/2014,ESC,5000,Spot,14.25
15/12/2014,ESC,5000,Spot,14.5
17/12/2014,ESC,10000,Spot,14.55
19/12/2014,ESC,6258,Spot,14.5
19/12/2014,ESC,10000,Spot,14.5
7/01/2015,ESC,5500,Spot,14.45
12/01/2015,ESC,7144,Spot,14.4
22/01/2015,ESC,5000,Spot,14.6
28/01/2015,ESC,30000,Spot,14.7
9/02/2015,ESC,10000,Spot,15
9/02/2015,ESC,5000,Spot,15
12/02/2015,ESC,5000,Spot,15.6
18/02/2015,ESC,5000,Spot,17.9
4/03/2015,ESC,5000,Spot,17
4/03/2015,ESC,5000,Spot,16.8
4/03/2015,ESC,20000,Spot,16.5
4/03/2015,ESC,5000,Spot,16.25
5/03/2015,ESC,15000,Spot,16.1
12/03/2015,ESC,15000,Spot,17.15
12/03/2015,ESC,10000,Spot,17.15
13/03/2015,ESC,5000,Spot,17.1
13/03/2015,ESC,20000,Spot,17.1
20/03/2015,ESC,7000,Spot,17.4
20/03/2015,ESC,5000,Spot,17.4
23/03/2015,ESC,23000,Spot,17.4
24/03/2015,ESC,10000,Spot,17.4
26/03/2015,ESC,10000,Spot,17.4
7/04/2015,ESC,12000,Spot,17.15
7/04/2015,ESC,5000,Spot,17.15
9/04/2015,ESC,68000,Spot,17.15
14/04/2015,ESC,10000,Spot,17.15
16/04/2015,ESC,15000,Spot,17.2
21/04/2015,ESC,5000,Spot,17.5
21/04/2015,ESC,5000,Spot,17.5
27/04/2015,ESC,7000,Spot,17.55
27/04/2015,ESC,10000,Spot,17.55
27/04/2015,ESC,10000,Spot,17.55
28/04/2015,ESC,5000,Spot,17.7
28/04/2015,ESC,5000,Spot,17.9
29/04/2015,ESC,10000,Spot,18
4/05/2015,ESC,6000,Spot,18.3
5/05/2015,ESC,5000,Spot,18.5
12/05/2015,ESC,10000,Spot,18.5
12/05/2015,ESC,10000,Spot,18.5
12/05/2015,ESC,10000,Spot,18.6
12/05/2015,ESC,5000,Spot,18.95
12/05/2015,ESC,5000,Spot,19
14/05/2015,ESC,10000,Spot,19
18/05/2015,ESC,5000,Spot,19.25
22/05/2015,ESC,5000,Spot,19.4
25/05/2015,ESC,5000,Spot,20
25/05/2015,ESC,5000,Spot,20
25/05/2015,ESC,5000,Spot,20.3
27/05/2015,ESC,11900,Spot,20.75
28/05/2015,ESC,5000,Spot,21
28/05/2015,ESC,15800,Spot,21.15
28/05/2015,ESC,15000,Spot,21.15
28/05/2015,ESC,5000,Spot,21.5
28/05/2015,ESC,50000,Spot,21.45
28/05/2015,ESC,50000,Spot,21.4
28/05/2015,ESC,29000,Spot,21.4
29/05/2015,ESC,20000,Spot,21.55
29/05/2015,ESC,10000,Spot,21.55
9/06/2015,ESC,5000,Spot,21.55
9/06/2015,ESC,10000,Spot,21.55
10/06/2015,ESC,8000,Spot,21.8
10/06/2015,ESC,6000,Spot,22.1
11/06/2015,ESC,10000,Spot,22.25
11/06/2015,ESC,50000,Spot,22.5
22/06/2015,ESC,5000,Spot,21.35
22/06/2015,ESC,5000,Spot,21.35
25/06/2015,ESC,6000,Spot,21.2
26/06/2015,ESC,5000,Spot,21.05
26/06/2015,ESC,55000,Spot,21.05
26/06/2015,ESC,18000,Spot,21.05
26/06/2015,ESC,5000,Spot,21.05
26/06/2015,ESC,5000,Spot,20.95
30/06/2015,ESC,20000,Spot,20.95
1/07/2015,ESC,25000,Spot,20.8
1/07/2015,ESC,10000,Spot,20.45
1/07/2015,ESC,5000,Spot,20.4
8/07/2015,ESC,5000,Spot,20
8/07/2015,ESC,10000,Spot,20
10/07/2015,ESC,5000,Spot,19.35
10/07/2015,ESC,5000,Spot,19
15/07/2015,ESC,5000,Spot,18.85
16/07/2015,ESC,5000,Spot,18.6
17/07/2015,ESC,10000,Spot,18.55
17/07/2015,ESC,5000,Spot,18.7
17/07/2015,ESC,5000,Spot,18.8
21/07/2015,ESC,5000,Spot,19
21/07/2015,ESC,5000,Spot,19.1
21/07/2015,ESC,10000,Spot,19.25
23/07/2015,ESC,10000,Spot,19.4
23/07/2015,ESC,5000,Spot,19.7
23/07/2015,ESC,10000,Spot,20.5
23/07/2015,ESC,20000,Spot,20.5
23/07/2015,ESC,30000,Spot,20.5
23/07/2015,ESC,5000,Spot,20.5
27/07/2015,ESC,15000,Spot,20.25
29/07/2015,ESC,7245,Spot,20.1
4/08/2015,ESC,5000,Spot,20.4
4/08/2015,ESC,5000,Spot,20.4
6/08/2015,ESC,10000,Spot,20.4
13/08/2015,ESC,5000,Spot,20.8
14/08/2015,ESC,7500,Spot,21
14/08/2015,ESC,5000,Spot,21.2
18/08/2015,ESC,5000,Spot,21.8
18/08/2015,ESC,5000,Spot,21.8
20/08/2015,ESC,10000,Spot,22
27/08/2015,ESC,10000,Spot,22.25
27/08/2015,ESC,5000,Spot,22.3
31/08/2015,ESC,5000,Spot,22.4
8/09/2015,ESC,15000,Spot,23
8/09/2015,ESC,5000,Spot,23
8/09/2015,ESC,10000,Spot,23
9/09/2015,ESC,5000,Spot,23.45
9/09/2015,ESC,15000,Spot,23.5
14/09/2015,ESC,7000,Spot,23.9
14/09/2015,ESC,5000,Spot,24
18/09/2015,ESC,5000,Spot,24.5
18/09/2015,ESC,5000,Spot,24.8
18/09/2015,ESC,5000,Spot,25
18/09/2015,ESC,5000,Spot,25
22/09/2015,ESC,7000,Spot,25.5
22/09/2015,ESC,5000,Spot,25.9
22/09/2015,ESC,5000,Spot,26
22/09/2015,ESC,5000,Spot,26.25
22/09/2015,ESC,5000,Spot,26.5
23/09/2015,ESC,5000,Spot,26.75
23/09/2015,ESC,5000,Spot,27
23/09/2015,ESC,5000,Spot,27
23/09/2015,ESC,5000,Spot,27.35
23/09/2015,ESC,5000,Spot,27.4
23/09/2015,ESC,5000,Spot,27.5
23/09/2015,ESC,5000,Spot,27.7
23/09/2015,ESC,8000,Spot,28
23/09/2015,ESC,5000,Spot,28.25
23/09/2015,ESC,5000,Spot,28.25
24/09/2015,ESC,5000,Spot,27.9
24/09/2015,ESC,5000,Spot,28.25
25/09/2015,ESC,5000,Spot,28.25
25/09/2015,ESC,5000,Spot,27.5
25/09/2015,ESC,14000,Spot,27.5
25/09/2015,ESC,5000,Spot,27.5
25/09/2015,ESC,5000,Spot,27.5
6/10/2015,ESC,28000,Spot,26.75
8/10/2015,ESC,15000,Spot,26.1
13/10/2015,ESC,10000,Spot,24.5
14/10/2015,ESC,10000,Spot,25.5
14/10/2015,ESC,10000,Spot,25.5
14/10/2015,ESC,5000,Spot,25.2
14/10/2015,ESC,9000,Spot,25.1
15/10/2015,ESC,8000,Spot,24
22/10/2015,ESC,5000,Spot,23
28/10/2015,ESC,43000,Spot,22.6
28/10/2015,ESC,30000,Spot,22.6
28/10/2015,ESC,5000,Spot,22.7
28/10/2015,ESC,10000,Spot,22.7
28/10/2015,ESC,50000,Spot,23
29/10/2015,ESC,10000,Spot,23.75
29/10/2015,ESC,5000,Spot,23.75
5/11/2015,ESC,7500,Spot,24
10/11/2015,ESC,5000,Spot,24.75
10/11/2015,ESC,5000,Spot,25
12/11/2015,ESC,5000,Spot,25.9
12/11/2015,ESC,5000,Spot,26
12/11/2015,ESC,8000,Spot,26.5
13/11/2015,ESC,5000,Spot,27
13/11/2015,ESC,5000,Spot,27
13/11/2015,ESC,5000,Spot,27
17/11/2015,ESC,5000,Spot,26.9
23/11/2015,ESC,5000,Spot,26.5
23/11/2015,ESC,5000,Spot,26.5
23/11/2015,ESC,5000,Spot,26.5
24/11/2015,ESC,5000,Spot,26.5
24/11/2015,ESC,5000,Spot,26.9
25/11/2015,ESC,5000,Spot,27
1/12/2015,ESC,5000,Spot,27
2/12/2015,ESC,10000,Spot,27.5
3/12/2015,ESC,5000,Spot,28
3/12/2015,ESC,5000,Spot,28.25
4/12/2015,ESC,60000,Spot,28.4
4/12/2015,ESC,25000,Spot,28.25
11/12/2015,ESC,10000,Spot,28.5
16/12/2015,ESC,10000,Spot,27.85
16/12/2015,ESC,5000,Spot,27.85
17/12/2015,ESC,10000,Spot,27.8
22/12/2015,ESC,5000,Spot,27.3
22/12/2015,ESC,5000,Spot,27.25
6/01/2016,ESC,5000,Spot,26.6
12/01/2016,ESC,5000,Spot,26.4
12/01/2016,ESC,5000,Spot,26.4
12/01/2016,ESC,5000,Spot,26.4
12/01/2016,ESC,5000,Spot,26.4
14/01/2016,ESC,10000,Spot,26.5
14/01/2016,ESC,10000,Spot,26.75
15/01/2016,ESC,5000,Spot,27.3
15/01/2016,ESC,5000,Spot,27.5
20/01/2016,ESC,5000,Spot,27.4
20/01/2016,ESC,5000,Spot,27.4
20/01/2016,ESC,17000,Spot,27.45
20/01/2016,ESC,5000,Spot,27.45
28/01/2016,ESC,5000,Spot,27.5
28/01/2016,ESC,12600,Spot,27.5
1/02/2016,ESC,5000,Spot,27.8
4/02/2016,ESC,5000,Spot,27.8
4/02/2016,ESC,5000,Spot,27.95
4/02/2016,ESC,15000,Spot,27.95
4/02/2016,ESC,25000,Spot,28.2
4/02/2016,ESC,5000,Spot,28.2
5/02/2016,ESC,5000,Spot,28.4
10/02/2016,ESC,10000,Spot,28
19/02/2016,ESC,10000,Spot,28.1
24/02/2016,ESC,5000,Spot,27.95
