Brand,Model,Product Website,Available,Pool Pump Type,Input Power,Current,Star Rating Index,Star Rating,Weighted Energy Factor,Daily Run Time,Projected Annual Energy Consumption (KWh/year),Date Available Until,Star Image Large,Star Image Small
Davey,SLS200,https://www.davey.com.au,"Australia,Fiji,New Zealand",Single speed,1090.0,4.9,0.94,1.0,12.944,3.6369,1409.9,2027-09-13,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_1_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_1_Star.png
Waterco,Turboflo 1.5HP MGS,,"Australia,Fiji,New Zealand",Single speed,1400.0,5.9,1.3,1.0,12.809,3.1892,1424.8,2027-09-12,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_1_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_1_Star.png
Waterco,Turboflo 1.5HP,,"Australia,Fiji,New Zealand",Single speed,1400.0,5.9,1.3,1.0,12.809,3.1892,1424.8,2027-09-12,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_1_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_1_Star.png
RELTECH,PLT100,,"Australia,Fiji,New Zealand",Single speed,1030.0,4.3,1.71,1.5,15.649,3.7369,1166.2,2027-09-05,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_1.5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_1.5_Star.png
RELTECH,PLT150,,"Australia,Fiji,New Zealand",Single speed,1435.0,5.67,1.11,1.0,12.183,3.1328,1498.0,2027-09-05,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_1_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_1_Star.png
Davey,SLS100,https://www.davey.com.au,"Australia,Fiji,New Zealand",Single speed,740.0,3.6,1.16,1.0,15.394,4.7898,1185.6,2027-09-14,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_1_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_1_Star.png
RELTECH,PLT V3,,"Australia,Fiji,New Zealand",Variable speed,975.0,6.5,6.41,6.0,45.554,6.1455,400.62,2027-09-06,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_6_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_6_Star.png
Davey,SLS150,https://www.davey.com.au,"Australia,Fiji,New Zealand",Single speed,860.0,4.0,1.32,1.0,15.244,4.1575,1197.2,2027-09-14,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_1_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_1_Star.png
Davey,SLS300,https://www.davey.com.au,"Australia,Fiji,New Zealand",Single speed,1400.0,5.9,0.96,1.0,11.87,3.1975,1537.5,2027-09-14,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_1_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_1_Star.png
Davey,SLL200,https://www.davey.com.au,"Australia,Fiji,New Zealand",Single speed,1130.0,4.8,1.11,1.0,13.264,3.4555,1375.9,2027-09-14,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_1_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_1_Star.png
Waterco,Hydrostorm 1.0HP MGS,,"Australia,Fiji,New Zealand",Single speed,870.0,3.8,1.53,1.5,15.885,3.6263,1148.9,2027-09-12,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_1.5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_1.5_Star.png
Waterco,Hydrostorm 1.5HP MGS,,"Australia,Fiji,New Zealand",Single speed,1310.0,5.4,1.37,1.0,13.337,3.0933,1368.4,2027-09-12,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_1_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_1_Star.png
Waterco,Supastream 0.75HP MGS,,"Australia,Fiji,New Zealand",Single speed,626.0,2.8,1.58,1.5,17.768,4.9368,1027.1,2027-09-12,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_1.5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_1.5_Star.png
Waterco,Supastream 1.0HP MGS,,"Australia,Fiji,New Zealand",Single speed,793.0,3.5,1.5,1.5,16.255,4.085,1122.7,2027-09-12,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_1.5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_1.5_Star.png
Waterco,Supastream 1.5HP MGS,,"Australia,Fiji,New Zealand",Single speed,1056.0,4.8,1.34,1.0,14.313,3.5251,1275.1,2027-09-12,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_1_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_1_Star.png
Waterco,Hydrostorm ECO-V 150 MGS,,"Australia,Fiji,New Zealand",Variable speed,1252.0,8.9,5.21,5.0,31.963,5.8835,570.97,2027-09-12,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_5_Star.png
RELTECH,PLTV5,,"Australia,Fiji,New Zealand",Variable speed,1400.0,9.65,6.2,6.0,38.285,5.8934,476.69,2027-10-01,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_6_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_6_Star.png
Davey,DSF900,https://www.davey.com.au,"Australia,Fiji,New Zealand",Single speed,900.0,4.6,1.69,1.5,16.292,3.6163,1120.2,2027-09-14,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_1.5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_1.5_Star.png
Davey,DSF1100,https://www.davey.com.au,"Australia,Fiji,New Zealand",Single speed,1100.0,5.8,1.73,1.5,15.378,3.3723,1186.7,2027-09-14,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_1.5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_1.5_Star.png
Davey,DSF750,https://www.davey.com.au,"Australia,Fiji,New Zealand",Single speed,750.0,3.8,2.23,2.0,19.476,3.9394,937.03,2027-09-14,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_2_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_2_Star.png
Davey,DSF1350,https://www.davey.com.au,"Australia,Fiji,New Zealand",Single speed,1350.0,6.2,1.87,1.5,14.745,3.1486,1237.7,2027-09-14,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_1.5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_1.5_Star.png
Davey,PM250,https://www.davey.com.au,"Australia,Fiji,New Zealand",Single speed,1360.0,6.3,0.89,1.0,11.824,3.1921,1543.4,2027-09-14,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_1_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_1_Star.png
Davey,PM350,https://www.davey.com.au,"Australia,Fiji,New Zealand",Single speed,1670.0,7.4,0.9,1.0,10.948,2.9611,1666.9,2027-09-14,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_1_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_1_Star.png
Davey,PM200,https://www.davey.com.au,"Australia,Fiji,New Zealand",Single speed,1200.0,6.0,0.54,1.0,11.447,3.5478,1594.3,2027-09-14,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_1_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_1_Star.png
Davey,C100M,https://www.davey.com.au,"Australia,Fiji,New Zealand",Single speed,1500.0,-,1.61,1.5,13.389,3.3393,1363.1,2027-09-14,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_1.5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_1.5_Star.png
Davey,C75M,https://www.davey.com.au,"Australia,Fiji,New Zealand",Single speed,1200.0,-,1.56,1.5,14.354,3.5657,1271.4,2027-09-14,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_1.5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_1.5_Star.png
Davey,C150M,https://www.davey.com.au,"Australia,Fiji,New Zealand",Single speed,1600.0,-,1.48,1.0,12.676,3.1133,1439.8,2027-09-14,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_1_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_1_Star.png
Davey,QB2002-AMP,https://www.davey.com.au,"Australia,Fiji",Two-speed,1500.0,7.0,3.45,3.0,20.191,5.6562,903.87,2027-09-14,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_3_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_3_Star.png
Davey,QB2002AUS-AMP,https://www.davey.com.au,"Australia,Fiji",Two-speed,1500.0,7.0,3.45,3.0,20.191,5.6562,903.87,2027-09-14,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_3_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_3_Star.png
Davey,QB2002,https://www.davey.com.au,"Australia,Fiji",Two-speed,1500.0,7.0,3.45,3.0,20.191,5.6562,903.87,2027-09-14,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_3_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_3_Star.png
Davey,QB2502-AMP,https://www.davey.com.au,"Australia,Fiji,New Zealand",Two-speed,1850.0,8.6,3.18,3.0,17.473,5.143,1044.5,2027-09-14,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_3_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_3_Star.png
Davey,QB2502AUS-AMP,https://www.davey.com.au,"Australia,Fiji,New Zealand",Two-speed,1850.0,8.6,3.18,3.0,17.473,5.143,1044.5,2027-09-14,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_3_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_3_Star.png
Davey,QB2502,https://www.davey.com.au,"Australia,Fiji,New Zealand",Two-speed,1850.0,8.6,3.18,3.0,17.473,5.143,1044.5,2027-09-14,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_3_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_3_Star.png
Davey,QB3002,https://www.davey.com.au,"Australia,Fiji,New Zealand",Two-speed,2200.0,10.0,3.33,3.0,16.747,4.8881,1089.7,2027-09-13,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_3_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_3_Star.png
RELTECH,GEN3-V3,,"Australia,Fiji,New Zealand",Variable speed,975.0,6.5,6.59,6.0,47.442,6.1275,384.68,2027-08-18,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_6_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_6_Star.png
THERALUX,TVS PRO 1.25HP,,"Australia,Fiji,New Zealand",Variable speed,975.0,6.5,6.59,6.0,47.442,6.1275,384.68,2027-08-18,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_6_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_6_Star.png
STANLEY,VS3,,"Australia,Fiji,New Zealand",Variable speed,975.0,6.5,6.59,6.0,47.442,6.1275,384.68,2027-08-18,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_6_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_6_Star.png
OASIS,V310P,,"Australia,Fiji,New Zealand",Variable speed,975.0,6.5,6.59,6.0,47.442,6.1275,384.68,2027-08-18,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_6_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_6_Star.png
OASIS,V3 PRO,,"Australia,Fiji,New Zealand",Variable speed,975.0,6.5,6.59,6.0,47.442,6.1275,384.68,2027-08-18,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_6_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_6_Star.png
STANLEY,V3 PRO,,"Australia,Fiji,New Zealand",Variable speed,975.0,6.5,6.59,6.0,47.442,6.1275,384.68,2027-08-18,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_6_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_6_Star.png
THERALUX,V3 PRO,,"Australia,Fiji,New Zealand",Variable speed,975.0,6.5,6.59,6.0,47.442,6.1275,384.68,2027-08-18,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_6_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_6_Star.png
RELTECH,GEN3-125,,"Australia,Fiji,New Zealand",Single speed,1050.0,4.32,1.43,1.0,14.633,3.4868,1247.2,2027-08-19,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_1_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_1_Star.png
AQUATIGHT,S350,,"Australia,Fiji,New Zealand",Single speed,1050.0,4.32,1.43,1.0,14.633,3.4868,1247.2,2027-08-19,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_1_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_1_Star.png
OASIS,P330,,"Australia,Fiji,New Zealand",Single speed,1050.0,4.32,1.43,1.0,14.633,3.4868,1247.2,2027-08-19,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_1_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_1_Star.png
OASIS,1.25HP,,"Australia,Fiji,New Zealand",Single speed,1050.0,4.32,1.43,1.0,14.633,3.4868,1247.2,2027-08-19,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_1_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_1_Star.png
AQUATIGHT,1.25HP,,"Australia,Fiji,New Zealand",Single speed,1050.0,4.32,1.43,1.0,14.633,3.4868,1247.2,2027-08-19,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_1_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_1_Star.png
RELTECH,1.25HP,,"Australia,Fiji,New Zealand",Single speed,1050.0,4.32,1.43,1.0,14.633,3.4868,1247.2,2027-08-19,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_1_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_1_Star.png
RELTECH,GEN3-150,,"Australia,Fiji,New Zealand",Single speed,1435.0,5.65,1.18,1.0,12.371,3.1211,1475.3,2027-08-24,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_1_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_1_Star.png
Davey,C200A,https://www.davey.com.au,"Australia,Fiji,New Zealand",Single speed,720.0,3.2,1.78,1.5,17.836,4.3864,1023.2,2027-10-04,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_1.5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_1.5_Star.png
Davey,C200AB,https://www.davey.com.au,"Australia,Fiji,New Zealand",Single speed,720.0,3.2,1.78,1.5,17.836,4.3864,1023.2,2027-10-04,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_1.5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_1.5_Star.png
Davey,C200TB,https://www.davey.com.au,"Australia,Fiji,New Zealand",Single speed,720.0,3.2,1.78,1.5,17.836,4.3864,1023.2,2027-10-04,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_1.5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_1.5_Star.png
Davey,C200,https://www.davey.com.au,"Australia,Fiji,New Zealand",Single speed,720.0,3.2,1.78,1.5,17.836,4.3864,1023.2,2027-10-04,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_1.5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_1.5_Star.png
Davey,C270A,https://www.davey.com.au,"Australia,Fiji,New Zealand",Single speed,900.0,3.9,1.39,1.0,15.256,4.0225,1196.3,2027-10-04,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_1_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_1_Star.png
Davey,C270AB,https://www.davey.com.au,"Australia,Fiji,New Zealand",Single speed,900.0,3.9,1.39,1.0,15.256,4.0225,1196.3,2027-10-04,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_1_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_1_Star.png
Davey,C270TB,https://www.davey.com.au,"Australia,Fiji,New Zealand",Single speed,900.0,3.9,1.39,1.0,15.256,4.0225,1196.3,2027-10-04,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_1_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_1_Star.png
Davey,C270,https://www.davey.com.au,"Australia,Fiji,New Zealand",Single speed,900.0,3.9,1.39,1.0,15.256,4.0225,1196.3,2027-10-04,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_1_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_1_Star.png
Pentair,SF750103,,"Australia,Fiji,New Zealand",Single speed,740.0,3.3,1.87,1.5,18.025,3.8443,1012.5,2027-09-14,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_1.5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_1.5_Star.png
Pentair,SF1100100,,"Australia,Fiji,New Zealand",Single speed,1050.0,5.0,1.71,1.5,15.556,3.3684,1173.2,2027-09-14,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_1.5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_1.5_Star.png
Pentair,SF1500100,,"Australia,Fiji,New Zealand",Single speed,1590.0,6.7,1.74,1.5,13.452,2.9523,1356.7,2027-09-14,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_1.5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_1.5_Star.png
Pentair,PRFL-750-1P,,"Australia,Fiji,New Zealand",Single speed,870.0,3.6,1.51,1.5,15.828,4.0155,1153.0,2027-09-20,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_1.5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_1.5_Star.png
Pentair,SUFL-750-1P,,"Australia,Fiji,New Zealand",Single speed,870.0,3.6,1.51,1.5,15.828,4.0155,1153.0,2027-09-20,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_1.5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_1.5_Star.png
Pentair,SuperFlo Pool Pumps,,"Australia,Fiji,New Zealand",Single speed,870.0,3.6,1.51,1.5,15.828,4.0155,1153.0,2027-09-20,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_1.5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_1.5_Star.png
Pentair,SUFL-1100-1P,,"Australia,Fiji,New Zealand",Single speed,1300.0,5.3,1.19,1.0,12.86,3.3738,1419.2,2027-09-20,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_1_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_1_Star.png
Pentair,PRFL-1100-1P,,"Australia,Fiji,New Zealand",Single speed,1300.0,5.3,1.19,1.0,12.86,3.3738,1419.2,2027-09-20,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_1_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_1_Star.png
Pentair,SuperFlo Pool Pumps,,"Australia,Fiji,New Zealand",Single speed,1300.0,5.3,1.19,1.0,12.86,3.3738,1419.2,2027-09-20,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_1_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_1_Star.png
Pentair,PRFL-1500-1P,,"Australia,Fiji,New Zealand",Single speed,1600.0,6.5,1.19,1.0,11.865,3.1226,1538.2,2027-09-20,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_1_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_1_Star.png
Pentair,SUFL-1500-1P,,"Australia,Fiji,New Zealand",Single speed,1600.0,6.5,1.19,1.0,11.865,3.1226,1538.2,2027-09-20,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_1_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_1_Star.png
Pentair,SuperFlo Pool Pumps,,"Australia,Fiji,New Zealand",Single speed,1600.0,6.5,1.19,1.0,11.865,3.1226,1538.2,2027-09-20,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_1_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_1_Star.png
Pentair,PRFL-800-ECO,,"Australia,Fiji,New Zealand",Variable speed,975.0,6.0,4.53,4.5,29.91,6.2966,610.16,2027-09-20,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_4.5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_4.5_Star.png
Pentair,SUFL-800-VS,,"Australia,Fiji,New Zealand",Variable speed,975.0,6.0,4.53,4.5,29.91,6.2966,610.16,2027-09-20,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_4.5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_4.5_Star.png
Pentair,SuperFlo VS Pool Pumps,,"Australia,Fiji,New Zealand",Variable speed,975.0,6.0,4.53,4.5,29.91,6.2966,610.16,2027-09-20,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_4.5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_4.5_Star.png
OASIS,PLT 100,,"Australia,Fiji,New Zealand",Single speed,1030.0,4.3,1.71,1.5,15.649,3.7369,1166.2,2027-09-05,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_1.5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_1.5_Star.png
OASIS,PLATINUM,,"Australia,Fiji,New Zealand",Single speed,1030.0,4.3,1.71,1.5,15.649,3.7369,1166.2,2027-09-05,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_1.5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_1.5_Star.png
RELTECH,PLATINUM,,"Australia,Fiji,New Zealand",Single speed,1030.0,4.3,1.71,1.5,15.649,3.7369,1166.2,2027-09-05,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_1.5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_1.5_Star.png
Davey,QB2001AUS-C38,https://www.davey.com.au,"Australia,Fiji,New Zealand",Single speed,1500.0,7.0,1.6,1.5,13.335,3.3727,1368.6,2027-09-14,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_1.5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_1.5_Star.png
Davey,QB2001-C38,https://www.davey.com.au,"Australia,Fiji,New Zealand",Single speed,1500.0,7.0,1.6,1.5,13.335,3.3727,1368.6,2027-09-14,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_1.5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_1.5_Star.png
Davey,QB2001-AMP,https://www.davey.com.au,"Australia,Fiji,New Zealand",Single speed,1500.0,7.0,1.6,1.5,13.335,3.3727,1368.6,2027-09-14,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_1.5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_1.5_Star.png
Davey,QB2001AUS-AMP,https://www.davey.com.au,"Australia,Fiji,New Zealand",Single speed,1500.0,7.0,1.6,1.5,13.335,3.3727,1368.6,2027-09-14,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_1.5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_1.5_Star.png
Davey,QB2001,https://www.davey.com.au,"Australia,Fiji,New Zealand",Single speed,1500.0,7.0,1.6,1.5,13.335,3.3727,1368.6,2027-09-14,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_1.5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_1.5_Star.png
RELTECH,GEN3-V8,,"Australia,Fiji,New Zealand",Variable speed,1850.0,8.5,6.58,6.0,37.297,5.6612,489.31,2027-10-01,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_6_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_6_Star.png
Lacron,Grange 0.75HP,,"Australia,Fiji,New Zealand",Single speed,626.0,2.8,1.58,1.5,17.768,4.9368,1027.1,2027-09-30,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_1.5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_1.5_Star.png
Lacron,Grange 1.0HP,,"Australia,Fiji,New Zealand",Single speed,793.0,3.5,1.5,1.5,16.255,4.085,1122.7,2027-09-30,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_1.5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_1.5_Star.png
HAYWARD,TS540VS,https://www.hayward-pool.com.au/shop/en/australia,"Australia,New Zealand",Variable speed,1780.0,7.8,6.01,6.0,-,-,-,2027-10-11,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_6_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_6_Star.png
Hyclor,1.5hp (72544),https://hyclor.com.au/,"Australia,New Zealand",Single speed,1198.0,5.2,1.0,1.0,12.689,3.4803,1438.2,2027-10-04,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_1_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_1_Star.png
