Brand,Model,Product Website,Available,Pool Pump Type,Input Power,Current,Star Rating Index,Star Rating,Weighted Energy Factor,Daily Run Time,Projected Annual Energy Consumption (KWh/year),Date Available Until,Star Image Large,Star Image Small
Waterco,Supastream 0.75HP,,"Australia,Fiji,New Zealand",Single speed,626.0,2.8,1.58,1.5,17.768,4.9368,1027.1,2027-09-08,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_1.5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_1.5_Star.png
Waterco,Supastream 1.0HP,,"Australia,Fiji,New Zealand",Single speed,793.0,3.5,1.5,1.5,16.255,4.085,1122.7,2027-09-08,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_1.5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_1.5_Star.png
Waterco,Supastream 1.5HP,,"Australia,Fiji,New Zealand",Single speed,1056.0,4.8,1.34,1.0,14.313,3.5251,1275.1,2027-09-08,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_1_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_1_Star.png
Waterco,Aquastream Solar 0.75HP MK2,,"Australia,Fiji,New Zealand",Single speed,680.0,3.0,1.62,1.5,17.499,4.9692,1042.9,2027-09-08,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_1.5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_1.5_Star.png
Waterco,Aquastream Solar 1.0HP MK2,,"Australia,Fiji,New Zealand",Single speed,860.0,3.6,1.56,1.5,16.07,4.0199,1135.7,2027-09-08,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_1.5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_1.5_Star.png
Waterco,Aquastream Solar 1.5HP MK2,,"Australia,Fiji,New Zealand",Single speed,1090.0,4.8,1.41,1.0,14.362,3.478,1270.7,2027-09-08,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_1_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_1_Star.png
RELTECH,PR50,,Australia,Single speed,740.0,3.02,1.86,1.5,17.982,4.1254,1014.9,2027-08-07,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_1.5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_1.5_Star.png
Pentair,EVMX800,,"Australia,Fiji,New Zealand",Variable speed,975.0,6.75,5.79,5.5,39.609,6.0197,460.75,2027-08-17,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_5.5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_5.5_Star.png
Pentair,EVMX1500,,"Australia,Fiji,New Zealand",Variable speed,2100.0,9.5,5.37,5.0,26.934,5.7497,677.58,2027-08-17,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_5_Star.png
Pentair,SF550100,,"Australia,Fiji,New Zealand",Single speed,650.0,2.6,2.03,2.0,19.434,4.1213,939.1,2027-08-17,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_2_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_2_Star.png
RELTECH,PR125,,"Australia,Fiji,New Zealand",Single speed,1050.0,4.32,1.43,1.0,14.633,3.4868,1247.2,2027-08-19,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_1_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_1_Star.png
RELTECH,V3 PRO,,"Australia,Fiji,New Zealand",Variable speed,975.0,6.5,6.59,6.0,47.442,6.1275,384.68,2027-08-18,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_6_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_6_Star.png
RELTECH,PLT V8,,Australia,Variable speed,1850.0,8.5,6.58,6.0,37.257,5.7156,489.84,2027-08-18,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_6_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_6_Star.png
RELTECH,SS125,,"Australia,Fiji,New Zealand",Single speed,1050.0,4.32,1.43,1.0,14.633,3.4868,1247.2,2027-08-19,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_1_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_1_Star.png
RELTECH,V3 PRO +,,"Australia,Fiji,New Zealand",Variable speed,975.0,6.5,6.59,6.0,47.442,6.1275,384.68,2027-08-18,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_6_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_6_Star.png
