Accepted Product ID,Product Type,Method(s),Activity Definition,Brand,Model Number,Driver Brand (if declared article),Driver Model Number (if declared article),Lifetime in hours (if applicable) 	,Strip light length in meters (if applicable) ,Light output (lm) (if applicable) ,Accepted LCP/NLP Value,AS/NZS4234 version,Zone 3 System Size,Zone 3 Peak Load (MJ/day) ,Zone 3 Annual Energy Savings %,Zone 3 Bs (GJ/year) ,Zone 3 Be (GJ/year),Zone 3 HPelec (GJ/year),Zone 3 HPgas (GJ/year),Zone 3 RefElec (GJ/year),Zone 5 System Size ,Zone 5 Peak Load (MJ/day) ,Zone 5 Annual Energy Savings % ,Zone 5 Bs (GJ/year) ,Zone 5 Be (GJ/year),Zone 5 HPelec (GJ/year),Zone 5 HPgas (GJ/year),Zone 5 RefElec (GJ/year),No. of hot water tank(s) ,Tank Model Number ,Tank Size (L) ,Pre-heat tank model number(s),Finishing tank model number(s) ,Pre-heat tank volume (L) ,Finishing tank volume (L) ,Total system tank volume (L) ,Collector Type,Collector Model Number,No. of collectors,No. of  heat pump(s),Heat pump unit model number(s) ,Total heat pump thermal capacity (kW) ,System booster type ,Booster model number(s) ,Total thermal capacity (kW),System Type,Refrigerant type (GWP),Refrigerant charge (kg),AS/NZS 2712 Certificate Expiry,Limitations,Effective From,Effective To,Status
ACC0014390,LED Luminaires - Floodlight,Commercial Lighting,,XSY LED,XSY-SBFL50W,,,,,,53.8,,,,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,2018-09-12,,Active
ACC0014400,LED Luminaires - Floodlight,Commercial Lighting,,XSY LED,XSY-SBFL180W,,,,,,178.9,,,,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,2018-09-12,,Active
ACC0014392,LED Luminaires - Floodlight,Commercial Lighting,,XSY LED,XSY-SBFL75W,,,,,,75.4,,,,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,2018-09-12,,Active
ACC0014402,LED Luminaires - Floodlight,Commercial Lighting,,XSY LED,XSY-SBFL240W,,,,,,240.6,,,,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,2018-09-12,,Active
ACC0017411,LED Luminaires - High/Low Bay,Commercial Lighting,,XSY LED,XSY-HBPE150W-D,,,,,,153.1,,,,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,2019-02-20,,Active
ACC0017399,LED Luminaires - High/Low Bay,Commercial Lighting,,XSY LED,XSY-HBPE120W-D,,,,,,121.54,,,,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,2019-02-20,,Active
ACC0017415,LED Luminaires - High/Low Bay,Commercial Lighting,,XSY LED,XSY-HBPE200W-DH,,,,,,195.4,,,,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,2019-02-20,,Active
ACC0017338,LED Luminaires - Linear Lamp,Commercial Lighting,,XSY LED,XSY-TP18W12-MS,,,,,,18.3,,,,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,2019-02-20,,Active
ACC0014398,LED Luminaires - Floodlight,Commercial Lighting,,XSY LED,XSY-SBFL150W,,,,,,145.8,,,,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,2018-09-12,,Active
ACC0017355,LED Luminaires - Linear Lamp,Commercial Lighting,,XSY LED,XSY-TP40W12-MS,,,,,,41.1,,,,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,2019-02-20,,Active
